trip_no,start_date,end_date
0,2016-01-02 20:25:00,2016-01-02 20:38:00
1,2016-01-05 17:31:00,2016-01-05 17:45:00
2,2016-01-06 14:42:00,2016-01-06 15:49:00
3,2016-01-06 17:15:00,2016-01-06 17:19:00
4,2016-01-06 17:30:00,2016-01-06 17:35:00
5,2016-01-07 13:27:00,2016-01-07 13:33:00
6,2016-01-10 08:05:00,2016-01-10 08:25:00
7,2016-01-10 12:17:00,2016-01-10 12:44:00
8,2016-01-10 15:08:00,2016-01-10 15:51:00
9,2016-01-10 18:18:00,2016-01-10 18:53:00
10,2016-01-10 19:12:00,2016-01-10 19:32:00
11,2016-01-11 08:55:00,2016-01-11 09:21:00
12,2016-01-11 11:56:00,2016-01-11 12:03:00
13,2016-01-11 13:32:00,2016-01-11 13:46:00
14,2016-01-11 14:30:00,2016-01-11 14:43:00
15,2016-01-12 12:33:00,2016-01-12 12:49:00
16,2016-01-12 12:53:00,2016-01-12 13:09:00
17,2016-01-12 14:42:00,2016-01-12 14:56:00
18,2016-01-12 15:13:00,2016-01-12 15:28:00
19,2016-01-12 15:42:00,2016-01-12 15:54:00
20,2016-01-12 16:02:00,2016-01-12 17:00:00
21,2016-01-13 13:54:00,2016-01-13 14:07:00
22,2016-01-13 15:00:00,2016-01-13 15:28:00
23,2016-01-14 16:29:00,2016-01-14 17:05:00
24,2016-01-14 21:39:00,2016-01-14 21:45:00
25,2016-01-15 00:41:00,2016-01-15 01:01:00
26,2016-01-15 11:43:00,2016-01-15 12:03:00
27,2016-01-15 13:26:00,2016-01-15 13:44:00
28,2016-01-18 14:55:00,2016-01-18 15:06:00
29,2016-01-18 16:13:00,2016-01-18 16:24:00
30,2016-01-19 10:55:00,2016-01-19 11:09:00
31,2016-01-20 10:36:00,2016-01-20 11:11:00
32,2016-01-20 11:48:00,2016-01-20 12:19:00
33,2016-01-20 13:25:00,2016-01-20 14:19:00
34,2016-01-21 14:25:00,2016-01-21 14:29:00
35,2016-01-21 14:43:00,2016-01-21 14:51:00
36,2016-01-21 16:01:00,2016-01-21 16:06:00
37,2016-01-26 10:41:00,2016-01-26 10:50:00
38,2016-01-26 12:33:00,2016-01-26 12:41:00
39,2016-01-26 16:24:00,2016-01-26 16:32:00
40,2016-01-26 17:17:00,2016-01-26 17:22:00
41,2016-01-26 17:27:00,2016-01-26 17:29:00
42,2016-01-27 09:24:00,2016-01-27 09:31:00
43,2016-01-27 10:19:00,2016-01-27 10:48:00
44,2016-01-27 12:34:00,2016-01-27 12:44:00
45,2016-01-27 14:05:00,2016-01-27 14:13:00
46,2016-01-27 14:46:00,2016-01-27 15:08:00
47,2016-01-28 12:28:00,2016-01-28 13:00:00
48,2016-01-28 15:11:00,2016-01-28 15:31:00
49,2016-01-28 16:21:00,2016-01-28 16:51:00
50,2016-01-29 09:31:00,2016-01-29 09:45:00
51,2016-01-29 10:56:00,2016-01-29 11:07:00
52,2016-01-29 11:43:00,2016-01-29 12:03:00
53,2016-01-29 13:24:00,2016-01-29 13:47:00
54,2016-01-29 18:31:00,2016-01-29 18:52:00
55,2016-01-29 21:21:00,2016-01-29 21:40:00
56,2016-01-30 16:21:00,2016-01-30 16:33:00
57,2016-01-30 18:09:00,2016-01-30 18:24:00
58,2016-02-01 10:35:00,2016-02-01 11:15:00
