trip_no,mileage
0,4.8
1,4.7
2,63.7
3,4.3
4,7.1
5,0.8
6,8.3
7,16.5
8,10.8
9,7.5
10,6.2
11,6.4
12,1.6
13,1.7
14,1.9
15,1.9
16,4
17,1.8
18,2.4
19,2
20,15.1
21,11.2
22,11.8
23,21.9
24,3.9
25,8
26,10.4
27,10.4
28,4.8
29,4.7
30,7.6
31,17.1
32,15.1
33,40.2
34,1.6
35,2.4
36,1
37,2
38,2.3
39,1.9
40,1.4
41,0.5
42,1.8
43,18.7
44,3.4
45,2.7
46,12.9
47,19
48,14.7
49,15.7
50,4.6
51,5.2
52,10.4
53,10.1
54,5.8
55,5.5
56,5.7
57,5.7
58,19.4
59,23.3
60,3.9
61,8.3
62,6
63,1.6
64,5.2
65,9.7
66,1.6
67,1.1
68,1.6
69,9
70,7.7
71,10.4
72,10.4
73,11.4
74,9
75,3.2
76,5.6
77,5.7
78,6.1
79,6.1
80,4.3
81,2.7
82,6.1
83,17.3
84,5.7
85,13.5
86,6.1
87,8.5
88,2.6
89,17
90,18
91,8.4
92,11.5
93,8.9
94,8.1
95,2
96,13
97,13.9
98,1.8
99,1.1
100,1.7
101,21.4
102,0.5
103,23.1
104,4.6
105,8.1
106,8.1
107,1.7
108,3.1
109,3.2
110,6
111,5.8
112,10.6
113,9.9
114,7.7
115,6.8
116,3.8
117,5.6
118,6.6
119,8
120,8
121,2.3
122,5.2
123,7.6
124,17.3
125,9.9
126,9.9
127,10.4
128,10.9
129,15.7
130,4.9
131,0.8
132,13.5
133,1.9
134,2
135,6.5
136,7.8
137,7.8
138,3.9
139,2.8
140,12.4
141,5.9
142,9.4
143,11.9
144,7.2
145,7.6
146,8.4
147,12.8
148,2
149,5.7
150,8.4
151,6.2
152,10.5
153,7.2
154,2
155,2
156,2.8
157,1.7
158,2.1
159,136
160,30.2
161,15.5
162,1.1
163,1.1
164,13.2
165,1
166,9.2
167,9.4
168,12
169,35.1
170,36.5
171,3.1
172,2.1
173,7.5
174,57
175,5.9
176,6.2
177,9.6
178,0.9
179,25.6
180,23
181,144
182,310.3
183,201
184,2.1
185,6.6
186,6.1
187,28.8
188,16.1
189,16.4
190,11
191,15.5
192,20.3
193,77.3
194,80.5
195,174.2
196,144
197,159.3
198,7.9
199,8
200,6.1
201,6.1
202,10.5
203,8.7
204,1.8
205,19.1
206,18.6
207,2.8
208,8.9
209,7.5
210,15.9
211,6.5
212,15.3
213,13.7
214,11.9
215,1.4
216,15.2
217,6
218,6.1
219,8.2
220,8
221,13.6
222,22.5
223,10.4
224,10
225,6
226,6.5
227,3.1
228,1.9
229,4.2
230,4.9
231,4.8
232,12.4
233,32.8
234,5.5
235,9.9
236,10
237,14.2
238,18.2
239,7.7
240,2.1
241,6.2
242,7.5
243,3.1
244,2.2
245,3.9
246,2.5
247,8.7
248,14.5
249,4.5
250,5
251,14.2
252,2.9
253,12.9
254,14.4
255,17
256,7.9
257,8.4
258,20.5
259,9.8
260,17.6
261,9.3
262,7.9
263,25.6
264,8.1
265,3.1
266,3.1
267,2.8
268,2.7
269,1.9
270,8.4
271,7.6
272,2.9
273,11.2
274,8.2
275,3
276,2.5
277,3.6
278,3.6
279,4.5
280,1.7
281,4.7
282,6.1
283,11.3
284,14.9
285,14
286,6.7
287,9.6
288,10.4
289,9.9
290,6
291,3.3
292,3.1
293,1.7
294,4
295,7.8
296,7.8
297,3.8
298,2.5
299,9.9
300,9.9
301,3
302,2.4
303,5.7
304,7.2
305,10.4
306,9.9
307,10.4
308,9.9
309,8.7
310,22.3
311,3.3
312,0.7
313,2.5
314,0.5
315,0.9
316,4.8
317,16.3
318,10.4
319,9.9
320,3.7
321,4.6
322,10.4
323,9.9
324,2.5
325,4.3
326,2.8
327,8.4
328,13.2
329,3.9
330,5.1
331,11.6
332,5.1
333,9.3
334,12.4
335,1.9
336,6.4
337,1.5
338,16.6
339,7.1
340,2.1
341,8.6
342,9
343,3.1
344,8.4
345,11.8
346,1.1
347,17
348,1.7
349,15.5
350,12.6
351,8.2
352,10.4
