trip_no,start_location,stop_location
0,Fort Pierce,Fort Pierce
1,Fort Pierce,Fort Pierce
2,Fort Pierce,West Palm Beach
3,West Palm Beach,West Palm Beach
4,West Palm Beach,Palm Beach
5,Cary,Cary
6,Cary,Morrisville
7,Jamaica,New York
8,New York,Queens
9,Elmhurst,New York
10,Midtown,East Harlem
11,East Harlem,NoMad
12,Flatiron District,Midtown
13,Midtown,Midtown East
14,Midtown East,Midtown
15,Midtown,Hudson Square
16,Hudson Square,Lower Manhattan
17,Lower Manhattan,Hudson Square
18,Hudson Square,Hell's Kitchen
19,Hell's Kitchen,Midtown
20,New York,Queens County
21,Downtown,Gulfton
22,Gulfton,Downtown
23,Houston,Houston
24,Eagan Park,Jamestown Court
25,Morrisville,Cary
26,Cary,Durham
27,Durham,Cary
28,Cary,Cary
29,Farmington Woods,Whitebridge
30,Lake Wellingborough,Whitebridge
31,Cary,Raleigh
32,Fayetteville Street,Umstead
33,Raleigh,Cary
34,Cary,Cary
35,Cary,Cary
36,Cary,Cary
37,Whitebridge,Hazelwood
38,Hazelwood,Whitebridge
39,Whitebridge,Westpark Place
40,Cary,Cary
41,Cary,Cary
42,Cary,Cary
43,Cary,Raleigh
44,Fairmont,Meredith Townes
45,Raleigh,Raleigh
46,Raleigh,Cary
47,Cary,Raleigh
48,Meredith Townes,Leesville Hollow
49,Raleigh,Cary
50,Cary,Cary
51,Cary,Cary
52,Cary,Durham
53,Durham,Cary
54,Cary,Apex
55,Apex,Cary
56,Cary,Apex
57,Apex,Cary
58,Cary,Chapel Hill
59,Chapel Hill,Cary
60,Northwoods,Whitebridge
61,Whitebridge,Williamsburg Manor
62,Cary,Cary
63,Cary,Cary
64,Cary,Morrisville
65,Morrisville,Cary
66,Cary,Cary
67,Cary,Cary
68,Cary,Cary
69,Whitebridge,Macgregor Downs
70,Cary,Cary
71,Cary,Durham
72,Durham,Cary
73,Cary,Raleigh
74,Raleigh,Cary
75,Edgehill Farms,Whitebridge
76,Cary,Apex
77,Apex,Cary
78,Cary,Morrisville
79,Morrisville,Cary
80,Whitebridge,Edgehill Farms
81,Edgehill Farms,Whitebridge
82,Morrisville,Cary
83,Cary,Raleigh
84,Eastgate,Walnut Terrace
85,Raleigh,Morrisville
86,Morrisville,Cary
87,Cary,Durham
88,Durham,Morrisville
89,Morrisville,Raleigh
90,Raleigh,Cary
91,Cary,Morrisville
92,Morrisville,Cary
93,Cary,Morrisville
94,East Elmhurst,New York
95,Midtown,Midtown West
96,New York,Long Island City
97,Long Island City,Jamaica
98,Colombo,Colombo
99,Colombo,Nugegoda
100,Colombo,Colombo
101,Colombo,Katunayaka
102,Katunayaka,Katunayaka
103,R?walpindi,R?walpindi
104,Islamabad,Islamabad
105,Islamabad,Noorpur Shahan
106,Morrisville,Cary
107,Preston,Whitebridge
108,Whitebridge,Heritage Pines
109,Heritage Pines,Whitebridge
110,Whitebridge,Tanglewood
111,Tanglewood,Whitebridge
112,Cary,Durham
113,Durham,Cary
114,Whitebridge,Waverly Place
115,Waverly Place,Whitebridge
116,Cary,Apex
117,Apex,Cary
118,Hazelwood,Whitebridge
119,Whitebridge,Wayne Ridge
120,Wayne Ridge,Whitebridge
121,Westpark Place,Whitebridge
122,Whitebridge,Northwoods
123,Cary,Raleigh
124,Raleigh,Cary
125,Cary,Durham
126,Durham,Cary
127,Cary,Durham
128,Durham,Cary
129,Cary,Raleigh
130,Raleigh,Raleigh
131,Fayetteville Street,Depot Historic District
132,Raleigh,Cary
133,Cary,Morrisville
134,Morrisville,Cary
135,Cary,Morrisville
136,Whitebridge,Wayne Ridge
137,Cary,Morrisville
138,Morrisville,Cary
139,Whitebridge,Edgehill Farms
140,Cary,Raleigh
141,Fayetteville Street,Meredith Townes
142,Meredith Townes,Leesville Hollow
143,Raleigh,Cary
144,Whitebridge,Waverly Place
145,Waverly Place,Whitebridge
146,Cary,Morrisville
147,East Austin,West University
148,The Drag,Congress Ave District
149,The Drag,Convention Center District
150,South Congress,North Austin
151,Georgian Acres,The Drag
152,The Drag,North Austin
153,North Austin,Coxville
154,The Drag,South Congress
155,The Drag,Convention Center District
156,Downtown,The Drag
157,The Drag,Congress Ave District
158,West University,Congress Ave District
159,Austin,Katy
160,Katy,Houston
161,Midtown,Alief
162,Midtown,Midtown
163,Midtown,Midtown
164,Midtown,Sharpstown
165,Sharpstown,Sharpstown
166,Sharpstown,Midtown
167,Midtown,Sharpstown
168,Houston,Sugar Land
169,Sugar Land,Houston
170,Houston,Galveston
171,Galveston,Port Bolivar
172,Port Bolivar,Port Bolivar
173,Port Bolivar,Galveston
174,Galveston,Houston
175,Midtown,Washington Avenue
176,Washington Avenue,Midtown
177,Briar Meadow,Midtown
178,Downtown,Midtown
179,Sharpstown,Midtown
180,Midtown,Greater Greenspoint
181,Cary,Latta
182,Latta,Jacksonville
