START_DATE,END_DATE,CATEGORY,START,Latitude,Longitude,STOP,Latitude.1,Longitude.1,MILES,PURPOSE,SALARY,MONTH,DAY_OF_THE_WEEK,DURATION,money_regex
2016-01-02 20:25:00,2016-01-02 20:38:00,Business,Fort Pierce,27.4467056,-80.3256056,Fort Pierce,27.4467056,-80.3256056,4.8,Errand/Supplies,$10.32 ,Jan,Sat,0 days 00:13:00,10.32
2016-01-05 17:31:00,2016-01-05 17:45:00,Business,Fort Pierce,27.4467056,-80.3256056,Fort Pierce,27.4467056,-80.3256056,4.7,Meeting,$10.11 ,Jan,Tues,0 days 00:14:00,10.11
2016-01-06 14:42:00,2016-01-06 15:49:00,Business,Fort Pierce,27.4467056,-80.3256056,West Palm Beach,26.7153424,-80.0533746,63.7,Customer Visit,$136.96 ,Jan,Wed,0 days 01:07:00,136.96
2016-01-06 17:15:00,2016-01-06 17:19:00,Business,West Palm Beach,26.7153424,-80.0533746,West Palm Beach,26.7153424,-80.0533746,4.3,Meal/Entertain,$9.25 ,Jan,Wed,0 days 00:04:00,9.25
2016-01-06 17:30:00,2016-01-06 17:35:00,Business,West Palm Beach,26.7153424,-80.0533746,Palm Beach,26.7056206,-80.0364297,7.1,Meeting,$15.27 ,Jan,Wed,0 days 00:05:00,15.27
2016-01-07 13:27:00,2016-01-07 13:33:00,Business,Cary,35.79154,-78.7811169,Cary,35.79154,-78.7811169,0.8,Meeting,$1.72 ,Jan,Thus,0 days 00:06:00,1.72
2016-01-10 08:05:00,2016-01-10 08:25:00,Business,Cary,35.79154,-78.7811169,Morrisville,42.8986791,-75.6401825,8.3,Meeting,$17.85 ,Jan,Sun,0 days 00:20:00,17.85
2016-01-10 12:17:00,2016-01-10 12:44:00,Business,Jamaica,18.109581,-77.297508,New York,40.7127753,-74.0059728,16.5,Customer Visit,$35.48 ,Jan,Sun,0 days 00:27:00,35.48
2016-01-10 15:08:00,2016-01-10 15:51:00,Business,New York,40.7127753,-74.0059728,Queens,40.7282239,-73.7948516,10.8,Meeting,$23.22 ,Jan,Sun,0 days 00:43:00,23.22
2016-01-10 18:18:00,2016-01-10 18:53:00,Business,Elmhurst,41.8994744,-87.9403418,New York,40.7127753,-74.0059728,7.5,Meeting,$16.13 ,Jan,Sun,0 days 00:35:00,16.13
