START_DATE,END_DATE,CATEGORY,START,Latitude,Longitude,STOP,Latitude,Longitude,MILES,PURPOSE,SALARY
1/2/16 20:25,1/2/16 20:38,Business,Fort Pierce,27.4467056,-80.3256056,Fort Pierce,27.4467056,-80.3256056,4.8,Errand/Supplies,$10.32 
1/5/16 17:31,1/5/16 17:45,Business,Fort Pierce,27.4467056,-80.3256056,Fort Pierce,27.4467056,-80.3256056,4.7,Meeting,$10.11 
1/6/16 14:42,1/6/16 15:49,Business,Fort Pierce,27.4467056,-80.3256056,West Palm Beach,26.7153424,-80.0533746,63.7,Customer Visit,$136.96 
1/6/16 17:15,1/6/16 17:19,Business,West Palm Beach,26.7153424,-80.0533746,West Palm Beach,26.7153424,-80.0533746,4.3,Meal/Entertain,$9.25 
1/6/16 17:30,1/6/16 17:35,Business,West Palm Beach,26.7153424,-80.0533746,Palm Beach,26.7056206,-80.0364297,7.1,Meeting,$15.27 
1/7/16 13:27,1/7/16 13:33,Business,Cary,35.79154,-78.7811169,Cary,35.79154,-78.7811169,0.8,Meeting,$1.72 
1/10/16 8:05,1/10/16 8:25,Business,Cary,35.79154,-78.7811169,Morrisville,42.8986791,-75.6401825,8.3,Meeting,$17.85 
1/10/16 12:17,1/10/16 12:44,Business,Jamaica,18.109581,-77.297508,New York,40.7127753,-74.0059728,16.5,Customer Visit,$35.48 
1/10/16 15:08,1/10/16 15:51,Business,New York,40.7127753,-74.0059728,Queens,40.7282239,-73.7948516,10.8,Meeting,$23.22 
1/10/16 18:18,1/10/16 18:53,Business,Elmhurst,41.8994744,-87.9403418,New York,40.7127753,-74.0059728,7.5,Meeting,$16.13 
1/10/16 19:12,1/10/16 19:32,Business,Midtown,27.9531045,-82.5033163,East Harlem,40.7957399,-73.9389213,6.2,Meeting,$13.33 
1/11/16 8:55,1/11/16 9:21,Business,East Harlem,40.7957399,-73.9389213,NoMad,,,6.4,Temporary Site,$13.76 
1/11/16 11:56,1/11/16 12:03,Business,Flatiron District,40.740083,-73.9903489,Midtown,27.9531045,-82.5033163,1.6,Errand/Supplies,$3.44 
1/11/16 13:32,1/11/16 13:46,Business,Midtown,27.9531045,-82.5033163,Midtown East,40.7571432,-73.9718815,1.7,Meal/Entertain,$3.66 
1/11/16 14:30,1/11/16 14:43,Business,Midtown East,40.7571432,-73.9718815,Midtown,27.9531045,-82.5033163,1.9,Meal/Entertain,$4.09 
1/12/16 12:33,1/12/16 12:49,Business,Midtown,27.9531045,-82.5033163,Hudson Square,40.7266108,-74.0074328,1.9,Meal/Entertain,$4.09 
1/12/16 12:53,1/12/16 13:09,Business,Hudson Square,40.7266108,-74.0074328,Lower Manhattan,40.7208595,-74.0006686,4,Meal/Entertain,$8.60 
1/12/16 14:42,1/12/16 14:56,Business,Lower Manhattan,40.7208595,-74.0006686,Hudson Square,40.7266108,-74.0074328,1.8,Errand/Supplies,$3.87 
1/12/16 15:13,1/12/16 15:28,Business,Hudson Square,40.7266108,-74.0074328,Hell's Kitchen,40.7637581,-73.9918181,2.4,Customer Visit,$5.16 
1/12/16 15:42,1/12/16 15:54,Business,Hell's Kitchen,40.7637581,-73.9918181,Midtown,27.9531045,-82.5033163,2,Errand/Supplies,$4.30 
1/12/16 16:02,1/12/16 17:00,Business,New York,40.7127753,-74.0059728,Queens County,40.7282239,-73.7948516,15.1,Meeting,$32.47 
1/13/16 13:54,1/13/16 14:07,Business,Downtown,,,Gulfton,29.7164567,-95.4805999,11.2,Meeting,$24.08 
1/13/16 15:00,1/13/16 15:28,Business,Gulfton,29.7164567,-95.4805999,Downtown,,,11.8,Meeting,$25.37 
1/14/16 16:29,1/14/16 17:05,Business,Houston,29.7604267,-95.3698028,Houston,29.7604267,-95.3698028,21.9,Customer Visit,$47.09 
1/14/16 21:39,1/14/16 21:45,Business,Eagan Park,44.8041322,-93.1668858,Jamestown Court,,,3.9,Errand/Supplies,$8.39 
1/15/16 0:41,1/15/16 1:01,Business,Morrisville,42.8986791,-75.6401825,Cary,35.79154,-78.7811169,8,Errand/Supplies,$17.20 
1/15/16 11:43,1/15/16 12:03,Business,Cary,35.79154,-78.7811169,Durham,35.9940329,-78.898619,10.4,Meal/Entertain,$22.36 
